Country	Date	SSID	Site Name	Site Type	Classification	Households	Individuals
Zimbabwe	31/03/2021		Chibaya	Original home			65
Zimbabwe	31/03/2021		Chizodza	Original home			25
Zimbabwe	31/03/2021		Gaura	Original home			25
Zimbabwe	31/03/2021		Gwebu	Original home			5
Zimbabwe	31/03/2021		Gwibila	Original home			10
Zimbabwe	31/03/2021		Kudiwa	Original home			20
Zimbabwe	31/03/2021		Magaya	Original home			30
Zimbabwe	31/03/2021		Chinyere	Original home			15
Zimbabwe	31/03/2021		Chirinda	Original home			5
Zimbabwe	31/03/2021		Dzingirai	Original home			15
Zimbabwe	31/03/2021		Machiridza	Original home			15
Zimbabwe	31/03/2021		Malombo	Original home			30
Zimbabwe	31/03/2021		Mangwengwende	Original home			10
Zimbabwe	31/03/2021		Mukwehwe	Original home			20
Zimbabwe	31/03/2021		Mushaurwa	Original home			35
Zimbabwe	31/03/2021		Togara	Original home			5
Zimbabwe	31/03/2021		Muvhimi	Original home			5
Zimbabwe	31/03/2021		Sizi	Original home			15
Zimbabwe	31/03/2021		Todyazviyo	Original home			20
Zimbabwe	31/03/2021		Chengeta	Original home			30
Zimbabwe	31/03/2021		Chiduku	Original home			10
Zimbabwe	31/03/2021		Chigidi	Original home			10
Zimbabwe	31/03/2021		Mhere	Original home			10
Zimbabwe	31/03/2021		Murata	Original home			20
Zimbabwe	31/03/2021		Murwisi	Original home			20
Zimbabwe	31/03/2021		Muzivi	Original home			60
Zimbabwe	31/03/2021		Muwandi	Original home			50
Zimbabwe	31/03/2021		Muzanami	Original home			25
Zimbabwe	31/03/2021		Gan'a	Original home			18
Zimbabwe	31/03/2021		Tapedzera	Original home			6
Zimbabwe	31/03/2021		Chakara	Original home			6
Zimbabwe	31/03/2021		Tavangwena	Original home			10
Zimbabwe	31/03/2021		Chikwekwete	Original home			11
Zimbabwe	31/03/2021		Zvenyika	Original home			2
Zimbabwe	31/03/2021		Chapwanya	Original home			25
Zimbabwe	31/03/2021		Dhenya	Original home			20
Zimbabwe	31/03/2021		Magarasadza	Original home			10
Zimbabwe	31/03/2021		Tizvione	Original home			6
Zimbabwe	31/03/2021		Redzo	Original home			8
Zimbabwe	31/03/2021		Mutopo	Original home			7
Zimbabwe	31/03/2021		Machacha	Original home			5
Zimbabwe	31/03/2021		Guveya	Original home			6
Zimbabwe	31/03/2021		Takundwa	Original home			4
Zimbabwe	31/03/2021		Shonhiwa	Original home			12
Zimbabwe	31/03/2021		Chitarike	Original home			6
Zimbabwe	31/03/2021		Gandiwa	Original home			6
Zimbabwe	31/03/2021		Tagu	Original home			5
Zimbabwe	31/03/2021		Marwendo	Host Family/Community accomodation			5
Zimbabwe	31/03/2021		Mheuka village	Host Family/Community accomodation			20
Zimbabwe	31/03/2021		Gamundana	Host Family/Community accomodation			30
Zimbabwe	31/03/2021		Kubatana	Host Family/Community accomodation			30
Zimbabwe	31/03/2021		Munaka	Host Family/Community accomodation			30
Zimbabwe	31/03/2021		Chichichi A	Original home			16
Zimbabwe	31/03/2021		Chichichi B	Original home			32
Zimbabwe	31/03/2021		Chibatwani	Original home			22
Zimbabwe	31/03/2021		Chioniso	Original home			20
Zimbabwe	31/03/2021		Chiruve	Original home			54
Zimbabwe	31/03/2021		Gadzingo	Original home			30
Zimbabwe	31/03/2021		Makwehe	Original home			14
Zimbabwe	31/03/2021		Musee	Original home			32
Zimbabwe	31/03/2021		Munhuhashati	Original home			18
Zimbabwe	31/03/2021		Nyambuya	Original home			10
Zimbabwe	31/03/2021		Nhambura	Original home			22
Zimbabwe	31/03/2021		Shotyami	Original home			20
Zimbabwe	31/03/2021		Shato	Original home			12
Zimbabwe	31/03/2021		Samhutsa	Original home			16
Zimbabwe	31/03/2021		Nduku	Original home			26
Zimbabwe	31/03/2021		Tsododo	Original home			44
Zimbabwe	31/03/2021		Pitsaru	Host Family/Community accomodation			30
Zimbabwe	31/03/2021		Ward 2 villages	Original home			857
Zimbabwe	31/03/2021		Kuretu	Original home			22
Zimbabwe	31/03/2021		Mukangara	Original home			13
Zimbabwe	31/03/2021		Nyamatanda Camp	Camp			86
Zimbabwe	31/03/2021		Nechirinda	Host Family/Community accomodation			276
Zimbabwe	31/03/2021		Nechigonda village	Original home			50
Zimbabwe	31/03/2021		Mudenhere	Original home			9
Zimbabwe	31/03/2021		Gotora	Original home			7
Zimbabwe	31/03/2021		Nyararai	Original home			5
Zimbabwe	31/03/2021		Taasure	Original home			13
Zimbabwe	31/03/2021		Zimhete	Original home			13
Zimbabwe	31/03/2021		Munyonho	Original home			51
Zimbabwe	31/03/2021		Mafuruse	Original home			14
Zimbabwe	31/03/2021		Ndiripo	Original home			24
Zimbabwe	31/03/2021		Warambwa	Original home			8
Zimbabwe	31/03/2021		Mabhegedhe	Original home			10
Zimbabwe	31/03/2021		Zvoushe	Original home			9
Zimbabwe	31/03/2021		Marambanyika	Original home			12
Zimbabwe	31/03/2021		Mupotsa	Original home			26
Zimbabwe	31/03/2021		Magudura	Original home			11
Zimbabwe	31/03/2021		Mabika	Original home			4
Zimbabwe	31/03/2021		Chizema	Original home			10
Zimbabwe	31/03/2021		Nhema	Original home			1
Zimbabwe	31/03/2021		Rashamira	Original home			7
Zimbabwe	31/03/2021		Gurupa	Original home			7
Zimbabwe	31/03/2021		Mututsa	Original home			12
Zimbabwe	31/03/2021		Sovo	Original home			11
Zimbabwe	31/03/2021		Mupumi	Original home			4
Zimbabwe	31/03/2021		Chiweshe	Original home			18
Zimbabwe	31/03/2021		Majere	Original home			35
Zimbabwe	31/03/2021		Chikuve	Original home			6
Zimbabwe	31/03/2021		Kamhunga	Original home			5
Zimbabwe	31/03/2021		Bonde	Original home			5
Zimbabwe	31/03/2021		Mahembe	Original home			5
Zimbabwe	31/03/2021		Murove	Original home			20
Zimbabwe	31/03/2021		Mufadza	Original home			5
Zimbabwe	31/03/2021		Chikobvore	Original home			10
Zimbabwe	31/03/2021		Chapanduka	Original home			10
Zimbabwe	31/03/2021		Gwedu	Original home			10
Zimbabwe	31/03/2021		Chidhakwa	Original home			10
Zimbabwe	31/03/2021		Mavhu	Original home			15
Zimbabwe	31/03/2021		Maunze	Original home			10
Zimbabwe	31/03/2021		Chipadza	Original home			10
Zimbabwe	31/03/2021		Garavaziva	Original home			7
Zimbabwe	31/03/2021		Neshava	Original home			10
Zimbabwe	31/03/2021		Maradzika	Original home			11
Zimbabwe	31/03/2021		Muchuweni	Original home			5
Zimbabwe	31/03/2021		Chengehama	Original home			5
Zimbabwe	31/03/2021		Mutema	Original home			4
Zimbabwe	31/03/2021		Ngano	Original home			8
Zimbabwe	31/03/2021		Chinzou	Original home			8
Zimbabwe	31/03/2021		Mutaringe	Original home			7
Zimbabwe	31/03/2021		Marufu	Original home			6
Zimbabwe	31/03/2021		Zvawamweni	Original home			11
Zimbabwe	31/03/2021		Mataramvura	Original home			5
Zimbabwe	31/03/2021		Chipuriro	Original home			20
Zimbabwe	31/03/2021		Mukute	Original home			170
Zimbabwe	31/03/2021		Nyasha	Original home			20
Zimbabwe	31/03/2021		Matauto	Original home			10
Zimbabwe	31/03/2021		Mavheneke	Original home			15
Zimbabwe	31/03/2021		Mapingure	Original home			40
Zimbabwe	31/03/2021		Ngavaite	Original home			25
Zimbabwe	31/03/2021		Mugombe	Original home			25
Zimbabwe	31/03/2021		Mahwengwa	Original home			5
Zimbabwe	31/03/2021		Vengai	Original home			15
Zimbabwe	31/03/2021		Mangezi	Original home			30
Zimbabwe	31/03/2021		Ngotyo	Original home			20
Zimbabwe	31/03/2021		Nyamuti	Original home			50
Zimbabwe	31/03/2021		Maambirwi	Original home			5
Zimbabwe	31/03/2021		Chiro	Original home			20
Zimbabwe	31/03/2021		Chihera	Original home			20
Zimbabwe	31/03/2021		Tapera	Original home			10
Zimbabwe	31/03/2021		Vengesai	Original home			25
Zimbabwe	31/03/2021		Mutemera	Original home			50
Zimbabwe	31/03/2021		Gavaza	Original home			20
Zimbabwe	31/03/2021		Zimbandi	Original home			20
Zimbabwe	31/03/2021		Machemedze	Original home			15
Zimbabwe	31/03/2021		Torovasei	Original home			10
Zimbabwe	31/03/2021		Gwarai	Original home			10
Zimbabwe	31/03/2021		Makanyise	Original home			15
Zimbabwe	31/03/2021		Makanan'ana	Original home			15
Zimbabwe	31/03/2021		Marume	Original home			5
Zimbabwe	31/03/2021		Manjokota	Original home			7
Zimbabwe	31/03/2021		Taurai	Original home			38
Zimbabwe	31/03/2021		Zvenyika	Original home			24
Zimbabwe	31/03/2021		Unganai	Original home			8
Zimbabwe	31/03/2021		Tambudzai	Original home			87
Zimbabwe	31/03/2021		Manjengwa	Original home			3
Zimbabwe	31/03/2021		Murairwa	Original home			5
Zimbabwe	31/03/2021		Mudinzwa	Original home			5
Zimbabwe	31/03/2021		Dzenga	Original home			10
Zimbabwe	31/03/2021		Murehwa	Original home			15
Zimbabwe	31/03/2021		Makichi	Original home			5
Zimbabwe	31/03/2021		Matyenyika	Original home			10
Zimbabwe	31/03/2021		Mupamhanga	Original home			5
Zimbabwe	31/03/2021		Chin'ozhoro	Original home			15
Zimbabwe	31/03/2021		Chitsiga	Original home			10
Zimbabwe	31/03/2021		Rubwunya	Original home			5
Zimbabwe	31/03/2021		Gundirai	Original home			5
Zimbabwe	31/03/2021		Muchefa	Original home			5
Zimbabwe	31/03/2021		Hwechume	Original home			10
Zimbabwe	31/03/2021		Maisiri	Original home			5
Zimbabwe	31/03/2021		Mukufa	Original home			10
Zimbabwe	31/03/2021		Zivei	Original home			10
Zimbabwe	31/03/2021		Mavhuka	Original home			10
Zimbabwe	31/03/2021		Chiwa	Original home			2
Zimbabwe	31/03/2021		Madanhe	Original home			5
Zimbabwe	31/03/2021		Mashingaidze	Original home			7
Zimbabwe	31/03/2021		Makwenzi	Original home			7
Zimbabwe	31/03/2021		Mushaka	Original home			12
Zimbabwe	31/03/2021		Ringarira	Original home			4
Zimbabwe	31/03/2021		Manjonjo	Original home			5
Zimbabwe	31/03/2021		Misi	Original home			5
Zimbabwe	31/03/2021		Chaita	Original home			10
Zimbabwe	31/03/2021		Nechiwewe	Original home			5
Zimbabwe	31/03/2021		Moyougare	Original home			5
Zimbabwe	31/03/2021		Kanduru	Original home			15
Zimbabwe	31/03/2021		Nehumambi	Original home			5
Zimbabwe	31/03/2021		Munhanga	Original home			5
Zimbabwe	31/03/2021		Tsvarisai	Original home			5
Zimbabwe	31/03/2021		Mbirimbidzai	Original home			15
Zimbabwe	31/03/2021		Ngirichi	Original home			5
Zimbabwe	31/03/2021		Makarara	Original home			5
Zimbabwe	31/03/2021		Shambwa	Original home			5
Zimbabwe	31/03/2021		Mureriwa	Original home			5
Zimbabwe	31/03/2021		Mandiyenga	Original home			5
Zimbabwe	31/03/2021		Chisveto	Original home			5
Zimbabwe	31/03/2021		Dakacha	Original home			5
Zimbabwe	31/03/2021		Tama	Original home			30
Zimbabwe	31/03/2021		Chitiyo	Original home			25
Zimbabwe	31/03/2021		Makanzwei	Original home			40
Zimbabwe	31/03/2021		Pomuri	Original home			10
Zimbabwe	31/03/2021		Vhengere	Original home			20
Zimbabwe	31/03/2021		Gadzai	Original home			25
Zimbabwe	31/03/2021		Ndarahwa	Original home			5
Zimbabwe	31/03/2021		Chinyamatikiti	Original home			40
Zimbabwe	31/03/2021		Nemadzinde	Original home			30
Zimbabwe	31/03/2021		Svongwa	Original home			20
Zimbabwe	31/03/2021		Mwacheta	Original home			15
Zimbabwe	31/03/2021		Gwangwa	Original home			15
Zimbabwe	31/03/2021		Pomami	Original home			10
Zimbabwe	31/03/2021		Mutawo	Original home			5
Zimbabwe	31/03/2021		Munapo	Original home			10
Zimbabwe	31/03/2021		Kuvenga	Original home			5
Zimbabwe	31/03/2021		Dhambe	Original home			15
Zimbabwe	31/03/2021		Kwenda	Original home			5
Zimbabwe	31/03/2021		Govo	Original home			5
Zimbabwe	31/03/2021		Madzanza	Original home			5
Zimbabwe	31/03/2021		Tazviwana	Original home			5
Zimbabwe	31/03/2021		Chiminya	Original home			5
Zimbabwe	31/03/2021		Murwira	Original home			15
Zimbabwe	31/03/2021		Mugabe	Original home			5
Zimbabwe	31/03/2021		Murairwa	Original home			5
Zimbabwe	31/03/2021		Makoni	Original home			5
Zimbabwe	31/03/2021		Tanyanyiwa	Original home			10
Zimbabwe	31/03/2021		Mandongwe	Original home			5
Zimbabwe	31/03/2021		Kanongowere	Original home			5
Zimbabwe	31/03/2021		Gwama	Original home			10
Zimbabwe	31/03/2021		Muguta	Original home			5
Zimbabwe	31/03/2021		Muchivi	Original home			15
Zimbabwe	31/03/2021		Mupunhairi	Original home			20
Zimbabwe	31/03/2021		Mudzamiri	Original home			35
Zimbabwe	31/03/2021		Mudzinganyama	Original home			15
Zimbabwe	31/03/2021		Muchingami	Original home			15
Zimbabwe	31/03/2021		Usheasinamukadzi	Original home			10
Zimbabwe	31/03/2021		Mbundire	Original home			120
Zimbabwe	31/03/2021		Munyengwa	Original home			35
Zimbabwe	31/03/2021		Masamha	Original home			20
Zimbabwe	31/03/2021		Madende	Original home			5
Zimbabwe	31/03/2021		Chikoore	Original home			5
Zimbabwe	31/03/2021		Mukono	Original home			20
Zimbabwe	31/03/2021		Takatya	Original home			5
Zimbabwe	31/03/2021		Jeche	Original home			15
Zimbabwe	31/03/2021		Muchinha	Original home			15
Zimbabwe	31/03/2021		Taguma	Original home			10
Zimbabwe	31/03/2021		Watosvorwa	Original home			20
Zimbabwe	31/03/2021		Nyamande	Original home			10
Zimbabwe	31/03/2021		Rukangarambwe	Original home			10
Zimbabwe	31/03/2021		Marere	Original home			10
Zimbabwe	31/03/2021		Chigodora	Original home			45
Zimbabwe	31/03/2021		Matarutse	Original home			15
Zimbabwe	31/03/2021		Matide	Original home			30
Zimbabwe	31/03/2021		Mhundwa	Original home			20
Zimbabwe	31/03/2021		Mhondiwa	Original home			25
Zimbabwe	31/03/2021		Mhiza	Original home			45
Zimbabwe	31/03/2021		Chinoda	Original home			10
Zimbabwe	31/03/2021		Chokore	Original home			10
Zimbabwe	31/03/2021		Bumhira	Original home			5
Zimbabwe	31/03/2021		Muziti	Original home			5
Zimbabwe	31/03/2021		Gutu	Original home			15
Zimbabwe	31/03/2021		Mukwasi	Original home			20
Zimbabwe	31/03/2021		Gaza	Original home			35
Zimbabwe	31/03/2021		Mberikunashe	Original home			20
Zimbabwe	31/03/2021		Chirovamai	Original home			15
Zimbabwe	31/03/2021		Chitere	Original home			20
Zimbabwe	31/03/2021		Chingori	Original home			25
Zimbabwe	31/03/2021		Ngazani	Original home			25
Zimbabwe	31/03/2021		Hazvinavarwi	Original home			20
Zimbabwe	31/03/2021		Kubanya	Original home			15
Zimbabwe	31/03/2021		Maonde	Original home			5
Zimbabwe	31/03/2021		Tagarira	Original home			10
Zimbabwe	31/03/2021		Homora	Original home			2
Zimbabwe	31/03/2021		Hadzizi	Original home			12
Zimbabwe	31/03/2021		Dzanhe	Original home			18
Zimbabwe	31/03/2021		Mangoma	Original home			15
Zimbabwe	31/03/2021		Chikwava	Original home			7
Zimbabwe	31/03/2021		Chipiro	Original home			9
Zimbabwe	31/03/2021		Madhumhe	Original home			9
Zimbabwe	31/03/2021		Hatinahama	Original home			10
Zimbabwe	31/03/2021		Mukutukutu	Original home			5
Zimbabwe	31/03/2021		Nheya	Original home			5
Zimbabwe	31/03/2021		Vadzenenga	Original home			6
Zimbabwe	31/03/2021		Hukuimwe	Original home			4
Zimbabwe	31/03/2021		Masvingo	Original home			26
Zimbabwe	31/03/2021		Matsvai	Original home			3
Zimbabwe	31/03/2021		Chirimudombo	Original home			5
Zimbabwe	31/03/2021		Rapinga	Original home			5
Zimbabwe	31/03/2021		Chapinga	Original home			4
Zimbabwe	31/03/2021		Hamandishe	Original home			5
Zimbabwe	31/03/2021		Manongora	Original home			2
Zimbabwe	31/03/2021		Hodhera	Original home			6
Zimbabwe	31/03/2021		Mujere	Original home			9
Zimbabwe	31/03/2021		Mhaka	Original home			5
Zimbabwe	31/03/2021		Wirimai	Original home			8
Zimbabwe	31/03/2021		Kwenda	Original home			6
Zimbabwe	31/03/2021		Nechavava	Original home			8
Zimbabwe	31/03/2021		Muteve	Original home			8
Zimbabwe	31/03/2021		Utete	Original home			14
Zimbabwe	31/03/2021		Takawira	Original home			4
Zimbabwe	31/03/2021		Chikandiwa	Original home			29
Zimbabwe	31/03/2021		Benzi	Original home			10
Zimbabwe	31/03/2021		Tabarira	Original home			29
Zimbabwe	31/03/2021		Wenhira	Original home			6
Zimbabwe	31/03/2021		Mushongwa	Original home			7
Zimbabwe	31/03/2021		Mapani	Original home			8
Zimbabwe	31/03/2021		Gava	Original home			5
Zimbabwe	31/03/2021		Masvingise	Original home			6
Zimbabwe	31/03/2021		Dzanhuhwa	Original home			7
Zimbabwe	31/03/2021		Gutuona	Original home			13
Zimbabwe	31/03/2021		Makaripe	Original home			5
Zimbabwe	31/03/2021		Tarwirei	Original home			7
Zimbabwe	31/03/2021		Chapukira	Original home			16
Zimbabwe	31/03/2021		Gapu	Original home			23
Zimbabwe	31/03/2021		Mavhenyengwa	Original home			6
Zimbabwe	31/03/2021		Mubvirwi	Original home			7
Zimbabwe	31/03/2021		Tabarira	Original home			16
Zimbabwe	31/03/2021		Chikandiwa	Original home			15
Zimbabwe	31/03/2021		Mukan'an'a	Original home			5
Zimbabwe	31/03/2021		Tondore	Original home			5
Zimbabwe	31/03/2021		Mukambirwa	Original home			10
Zimbabwe	31/03/2021		Maweni	Original home			5
Zimbabwe	31/03/2021		Nyeperai	Original home			15
Zimbabwe	31/03/2021		Magomo	Original home			5
Zimbabwe	31/03/2021		Chiurawa	Original home			5
Zimbabwe	31/03/2021		Chokudaniro	Original home			20
Zimbabwe	31/03/2021		Chiwada	Original home			5
Zimbabwe	31/03/2021		Machakachi	Original home			5
Zimbabwe	31/03/2021		Kuvegwa	Original home			5
Zimbabwe	31/03/2021		Kandenga	Original home			5
Zimbabwe	31/03/2021		Mhandu	Original home			30
Zimbabwe	31/03/2021		Mapfimbidza	Original home			5
Zimbabwe	31/03/2021		Nhaka	Original home			25
Zimbabwe	31/03/2021		Chirozva	Original home			30
Zimbabwe	31/03/2021		Jombo	Original home			5
Zimbabwe	31/03/2021		Jombo	Original home			5
Zimbabwe	31/03/2021		Manyika	Original home			5
Zimbabwe	31/03/2021		Zibute	Original home			5
Zimbabwe	31/03/2021		Shangwa	Original home			5
Zimbabwe	31/03/2021		Mutiba	Original home			15
Zimbabwe	31/03/2021		Mutsakani	Original home			14
Zimbabwe	31/03/2021		Munorwei	Original home			25
Zimbabwe	31/03/2021		Mutero	Original home			11
Zimbabwe	31/03/2021		Muchuwa	Original home			20
Zimbabwe	31/03/2021		Maronga	Original home			20
Zimbabwe	31/03/2021		Chaputika	Original home			10
Zimbabwe	31/03/2021		Muangirwa	Original home			10
Zimbabwe	31/03/2021		Chitsanza	Original home			5
Zimbabwe	31/03/2021		Kuerera	Original home			5
Zimbabwe	31/03/2021		Shayanewako	Original home			5
Zimbabwe	31/03/2021		Pezvonogumirwa	Original home			20
Zimbabwe	31/03/2021		Mariko	Original home			5
Zimbabwe	31/03/2021		Chikepe	Original home			10
Zimbabwe	31/03/2021		Bhegedhe	Original home			15
Zimbabwe	31/03/2021		Nemupanda	Original home			10
Zimbabwe	31/03/2021		Dadirai	Original home			10
Zimbabwe	31/03/2021		Nemapare	Original home			20
Zimbabwe	31/03/2021		Nendanga	Original home			25
Zimbabwe	31/03/2021		Muringa	Original home			20
Zimbabwe	31/03/2021		Chishaya	Original home			15
Zimbabwe	31/03/2021		Daakoni	Original home			10
Zimbabwe	31/03/2021		Kichini	Original home			10
Zimbabwe	31/03/2021		Muzokomba	Original home			10
Zimbabwe	31/03/2021		mhaka	Original home			10
Zimbabwe	31/03/2021		Zvekare	Original home			10
Zimbabwe	31/03/2021		Chingwidze	Original home			10
Zimbabwe	31/03/2021		Chisanga	Original home			5
Zimbabwe	31/03/2021		Magara	Original home			5
Zimbabwe	31/03/2021		Matsakanure	Original home			10
Zimbabwe	31/03/2021		Dzorora	Original home			15
Zimbabwe	31/03/2021		Mangore	Original home			5
Zimbabwe	31/03/2021		Munhumwaramba	Original home			5
Zimbabwe	31/03/2021		Chimambo village	Host Family/Community accomodation			51
Zimbabwe	31/03/2021		Ziyayo village	Host Family/Community accomodation			24
Zimbabwe	31/03/2021		Rusununguko	Host Family/Community accomodation			66
Zimbabwe	31/03/2021		Ngaone	Original home			32
Zimbabwe	31/03/2021		Nedanhe	Host Family/Community accomodation			22
Zimbabwe	31/03/2021		Mauwa	Original home			32
Zimbabwe	31/03/2021		Chieza Bomhoni	Original home			45
Zimbabwe	31/03/2021		Gumise	Original home			44
Zimbabwe	31/03/2021		Manyande	Original home			54
Zimbabwe	31/03/2021		Manyika	Original home			57
Zimbabwe	31/03/2021		Ngaone	Original home			57
Zimbabwe	31/03/2021		Ward 1 villages	Original home			235
Zimbabwe	31/03/2021		Murepa	Original home			54
Zimbabwe	31/03/2021		Mukundu	Original home			501
Zimbabwe	31/03/2021		Nedawa	Original home			102
Zimbabwe	31/03/2021		Mushambi	Original home			230
Zimbabwe	31/03/2021		Chieza Nyamashanga	Original home			60
Zimbabwe	31/03/2021		Musweweshiri	Original home			26
Zimbabwe	31/03/2021		Zvokuitirwa	Original home			46
Zimbabwe	31/03/2021		Jinga	Original home			12
Zimbabwe	31/03/2021		Nechitima	Original home			115
